Feature,Importance
angle_of_incidence,0.34694373453825855
zenith,0.15418151974914748
total_cloud_cover_sfc,0.13331190470326154
azimuth,0.10992926416620723
shortwave_radiation_backwards_sfc,0.07330679135165218
mean_sea_level_pressure_MSL,0.02842879927018039
relative_humidity_2_m_above_gnd,0.025801156504400225
wind_gust_10_m_above_gnd,0.021228797517959957
temperature_2_m_above_gnd,0.020910024262260414
low_cloud_cover_low_cld_lay,0.011018180737697404
wind_direction_10_m_above_gnd,0.01001932478452432
wind_speed_10_m_above_gnd,0.009914551628405549
wind_direction_900_mb,0.009805740766826885
wind_direction_80_m_above_gnd,0.00942576019918365
wind_speed_80_m_above_gnd,0.008685444121952804
wind_speed_900_mb,0.008612992921293382
high_cloud_cover_high_cld_lay,0.007734606152955319
medium_cloud_cover_mid_cld_lay,0.006072153730950382
total_precipitation_sfc,0.0040585072675328225
snowfall_amount_sfc,0.0006107456253494421
